fecha,P_mm,PET_mm,Q_mm,anio,mes,usar_calibracion,usar_validacion,Q_sim_lutz
2013-01-01,106.8,45.053665839243735,53.29,2013,1,True,False,34.35755453457412
2013-02-01,176.5,39.20731021459345,74.91,2013,2,True,False,76.39386435832255
2013-03-01,374.6,47.53246777620449,125.11,2013,3,True,False,181.9904084607118
2013-04-01,75.2,50.32580816983887,69.43,2013,4,True,False,13.8407634060223
2013-05-01,26.73,47.5261689664876,24.32,2013,5,True,False,0.0
2013-06-01,2.2,58.01378073337157,9.99,2013,6,True,False,0.0
2013-07-01,2.93,55.59453045028854,6.06,2013,7,True,False,0.0
2013-08-01,14.93,54.78762248990257,4.23,2013,8,True,False,0.0
2013-09-01,18.93,48.22023147295386,3.53,2013,9,True,False,0.0
2013-10-01,153.0,55.35159387363619,17.83,2013,10,True,False,22.92879201812348
2013-11-01,130.87,40.0962621236655,56.21,2013,11,True,False,50.50929244274832
2013-12-01,167.6,47.34720164252949,81.67,2013,12,True,False,66.91234603086491
2014-01-01,102.28,39.52712586895856,76.72,2014,1,True,False,34.91762425191583
2014-02-01,123.27,37.47586089723538,99.86,2014,2,True,False,47.738490924753734
2014-03-01,158.1,43.94101804745367,110.63,2014,3,True,False,63.52155964165557
2014-04-01,60.85,51.20258393047301,50.58,2014,4,True,False,5.368118257248146
2014-07-01,16.4,60.32379477377647,9.39,2014,7,True,False,0.0
2014-08-01,7.87,53.61206045807354,5.95,2014,8,True,False,0.0
2014-09-01,52.93,48.171930312040566,5.86,2014,9,True,False,0.0
2014-10-01,94.93,57.57938129100475,10.51,2014,10,True,False,3.154937162587916
2014-11-01,132.0,41.975391978167856,49.07,2014,11,True,False,50.0924536104618
2015-03-01,234.5,42.78649562636871,94.83,2015,3,True,False,106.6752750759686
2015-04-01,98.0,47.029922442018645,61.78,2015,4,True,False,28.361314774907246
2016-03-01,143.3,50.30474029531637,66.55,2016,3,True,False,51.74541533821511
2016-04-01,104.4,52.51528311297764,38.62,2016,4,True,False,28.870248156202063
2016-05-01,19.4,46.77198579748442,9.72,2016,5,True,False,0.0
