fecha,PET_mm
2012-01-01,37.494447661574625
2012-02-01,35.107450873146504
2012-03-01,49.60269033372342
2012-04-01,48.717020709488175
2012-05-01,46.95033675580646
2012-06-01,57.48867864357996
2012-07-01,59.19382226624598
2012-08-01,55.822784838176894
2012-09-01,49.471002449604356
2012-10-01,59.3124716979256
2012-11-01,40.58403971449056
2012-12-01,47.87757647106777
2013-01-01,45.053665839243735
2013-02-01,39.20731021459345
2013-03-01,47.53246777620449
2013-04-01,50.325808169838865
2013-05-01,47.5261689664876
2013-06-01,58.01378073337157
2013-07-01,55.59453045028854
2013-08-01,54.78762248990257
2013-09-01,48.22023147295386
2013-10-01,55.35159387363619
2013-11-01,40.0962621236655
2013-12-01,47.34720164252949
2014-01-01,39.527125868958564
2014-02-01,37.47586089723538
2014-03-01,43.94101804745367
2014-04-01,51.202583930473004
2014-05-01,43.39310527316766
2014-06-01,56.750858489083654
2014-07-01,60.32379477377647
2014-08-01,53.61206045807354
2014-09-01,48.171930312040566
2014-10-01,57.57938129100475
2014-11-01,41.975391978167856
2014-12-01,49.36078522676213
2015-01-01,39.31140022466489
2015-02-01,37.17965868174836
2015-03-01,42.786495626368705
2015-04-01,47.029922442018645
2015-05-01,42.755489158536015
2015-06-01,53.79219068620056
2015-07-01,57.18137704014362
2015-08-01,55.79374286824357
2015-09-01,52.15088812122728
2015-10-01,62.04079559831627
2015-11-01,44.77233784939493
2015-12-01,52.222730361521535
2016-01-01,46.309957998649914
2016-02-01,39.43033255228552
2016-03-01,50.304740295316364
2016-04-01,52.51528311297764
2016-05-01,46.77198579748442
2016-06-01,52.88432938866587
2016-07-01,56.0076363418767
2016-08-01,55.94908391497701
2016-09-01,47.524153743815226
2016-10-01,55.237639954615936
2016-11-01,42.374034408659604
2016-12-01,44.2683049349903
2017-01-01,36.596219412465864
2017-02-01,33.280261921868615
2017-03-01,42.56968499371581
2017-04-01,51.22836330371068
2017-05-01,45.74786560841916
2017-06-01,58.26232772528483
2017-07-01,56.16428500453762
2017-08-01,54.62175264374815
2017-09-01,50.01227814711163
2017-10-01,59.693349861191386
2017-11-01,39.27074928870848
2017-12-01,45.15140247952545
2018-01-01,36.63189894048704
2018-02-01,36.22351081113348
2018-03-01,46.7093846871221
2018-04-01,48.9007174604591
2018-05-01,45.56644876397688
2018-06-01,53.75416311748847
2018-07-01,55.93587964986885
2018-08-01,52.63489548469434
2018-09-01,46.532815463089065
2018-10-01,57.631162804858505
2018-11-01,42.45096672459228
2018-12-01,51.22356456084558
2019-01-01,39.110620997288876
2019-02-01,35.35062502548834
2019-03-01,45.457452150646326
2019-04-01,52.534421089974174
2019-05-01,49.68818661406917
2019-06-01,57.70331234527125
2019-07-01,60.96417748786302
2019-08-01,53.68516722536678
2019-09-01,52.81231503379408
2019-10-01,58.26322890894133
2019-11-01,39.57778323859412
2019-12-01,45.450445345117025
2020-01-01,40.56334065584536
2020-02-01,39.621022155032676
2020-03-01,47.304318107113666
2020-04-01,52.2170996492146
2020-05-01,48.0649940341081
2020-06-01,61.672673861645144
2020-07-01,61.190722545636994
2020-08-01,56.780034107676265
2020-09-01,49.50700365282882
2020-10-01,58.61544560888176
2020-11-01,39.44782148162469
2020-12-01,43.138893306780346
2021-01-01,37.962347313347685
2021-02-01,38.14508549081536
2021-03-01,42.710667184966
2021-04-01,52.740677187929684
2021-05-01,46.74638149097272
2021-06-01,59.14468381132921
2021-07-01,61.867017452653414
2021-08-01,56.12043141114167
2021-09-01,50.12597325725076
2021-10-01,64.06126107570428
2021-11-01,37.71133626122736
2021-12-01,47.38911633140564
2022-01-01,38.671937072601516
2022-02-01,36.092038572356046
2022-03-01,45.70662115730783
2022-04-01,52.3094575747973
2022-05-01,48.27158593274026
2022-06-01,56.44904899796407
2022-07-01,61.737364083714716
2022-08-01,58.349026798828014
2022-09-01,49.641805356276784
2022-10-01,60.74880356238526
2022-11-01,43.55230942473611
2022-12-01,45.98889861857931
