system:index,CHIRPS_POCCO,date,.geo,fecha_mensual,mes,Factor_correccion,CHIRPS_POCCO_CORR
0,84.24543510950527,2012-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-01-01,1,1.4594143508430073,122.94899699182533
1,136.25248228586636,2012-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-02-01,2,1.1729096681517877,159.81185378277283
2,149.63703140845664,2012-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-03-01,3,1.0176523505820951,152.2784767469427
3,100.88877125886768,2012-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-04-01,4,1.4159446733735415,142.85291826719532
4,35.27469939451951,2012-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-05-01,5,1.5219398888725382,53.68597207650721
5,3.319429030785194,2012-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-06-01,6,1.7515368991023574,5.814102431371842
6,3.148452905508188,2012-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-07-01,7,1.7446835045501838,5.493053849093234
7,8.306030475176296,2012-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-08-01,8,1.1623543434326868,9.654550599505432
8,57.88885688781738,2012-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-09-01,9,0.9070016507451076,52.50528875699766
9,65.36632772592397,2012-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-10-01,10,1.3044451451374333,85.26678885754392
10,73.16046410340529,2012-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-11-01,11,1.4967678322639064,109.50422926347528
11,95.45645633110632,2012-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-12-01,12,1.6946525708826246,161.76552912885433
12,63.09008523134085,2013-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-01-01,1,1.4594143508430073,92.0745757825273
13,115.9657762325727,2013-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-02-01,2,1.1729096681517877,136.0173801179113
14,172.70187023969794,2013-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-03-01,3,1.0176523505820951,175.7504641993526
15,91.54936959193302,2013-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-04-01,4,1.4159446733735415,129.62884222440323
16,40.817125467153694,2013-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-05-01,5,1.5219398888725382,62.12121139757634
17,4.138849625220665,2013-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-06-01,6,1.7515368991023574,7.249347838409958
18,3.2282566657433143,2013-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-07-01,7,1.7446835045501838,5.632286153176537
19,8.166858618076029,2013-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-08-01,8,1.1623543434326868,9.492783586921343
20,42.50763181539681,2013-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-09-01,9,0.9070016507451076,38.55449222583017
21,66.41253023881178,2013-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-10-01,10,1.3044451451374333,86.631502646311
22,68.14609530338875,2013-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-11-01,11,1.4967678322639064,101.99888334450274
23,76.53140278962941,2013-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-12-01,12,1.6946525708826246,129.69413849069915
24,74.7845525099681,2014-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-01-01,1,1.4594143508430073,109.14164915441988
25,128.13100367326004,2014-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-02-01,2,1.1729096681517877,150.28609299835892
26,210.6679851091825,2014-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-03-01,3,1.0176523505820951,214.38677023875337
27,69.43594338343694,2014-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-04-01,4,1.4159446733735415,98.31745417444434
28,37.47659360445462,2014-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-05-01,5,1.5219398888725382,57.03712270568494
29,3.096611683185284,2014-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-06-01,6,1.7515368991023574,5.423829625290484
30,3.2413984445425177,2014-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-07-01,7,1.7446835045501838,5.6552143978679545
31,8.217031588921179,2014-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-08-01,8,1.1623543434326868,9.551102357506124
32,38.89896583557128,2014-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-09-01,9,0.9070016507451076,35.2814262251407
33,58.55284015948954,2014-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-10-01,10,1.3044451451374333,76.37896808005426
34,70.70690212799951,2014-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-11-01,11,1.4967678322639064,105.83181662422203
35,75.79907989501952,2014-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-12-01,12,1.6946525708826246,128.45310561463228
36,70.30657214384811,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-01-01,1,1.4594143508430073,102.60642034531115
37,127.68206684405986,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-02-01,2,1.1729096681517877,149.75953065100063
38,144.26873966363758,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-03-01,3,1.0176523505820951,146.8154220342171
39,59.93189576955941,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-04-01,4,1.4159446733735415,84.86024858008594
40,59.45170270479641,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-05-01,5,1.5219398888725382,90.48191780782102
41,3.096611609825721,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-06-01,6,1.7515368991023574,5.423829496798502
42,3.2413985912616434,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-07-01,7,1.7446835045501838,5.655214653846393
43,8.580956624104426,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-08-01,8,1.1623543434326868,9.974112202835265
44,37.10680451759925,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-09-01,9,0.9070016507451076,33.655932951338535
45,49.014223685631386,2015-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-10-01,10,1.3044451451374333,63.93636612940205
46,53.30072830273554,2015-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-11-01,11,1.4967678322639064,79.77881555977292
47,67.98331269851097,2015-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-12-01,12,1.6946525708826246,115.208095641649
48,47.90135420285738,2016-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-01-01,1,1.4594143508430073,69.90792374846406
49,109.3236711025238,2016-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-02-01,2,1.1729096681517877,128.22679079399637
50,159.43129198367777,2016-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-03-01,3,1.0176523505820951,162.24562904353002
51,56.09083909254807,2016-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-04-01,4,1.4159446733735415,79.42152483814586
52,33.471673085139344,2016-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-05-01,5,1.5219398888725382,50.9418744155749
53,5.491307955521803,2016-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-06-01,6,1.7515368991023574,9.618228508430764
54,3.24139903141902,2016-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-07-01,7,1.7446835045501838,5.655215421781707
55,9.066735212619488,2016-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-08-01,8,1.1623543434326868,10.538759055142346
56,46.08521226736215,2016-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-09-01,9,0.9070016507451076,41.799363601436156
57,50.38357709004328,2016-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-10-01,10,1.3044451451374333,65.72261252976456
58,37.76681272800152,2016-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-11-01,11,1.4967678322639064,56.52815041840774
59,87.99780117548427,2016-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-12-01,12,1.6946525708826246,149.12569999405247
60,84.93327922087448,2017-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-01-01,1,1.4594143508430073,123.95284655910041
61,163.65574695513794,2017-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-02-01,2,1.1729096681517877,191.9534078522838
62,260.8874617723318,2017-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-03-01,3,1.0176523505820951,265.4927387100099
63,72.74600865290715,2017-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-04-01,4,1.4159446733735415,103.00432346126944
64,37.38094285818247,2017-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-05-01,5,1.5219398888725382,56.891548019532934
65,3.181500361515925,2017-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-06-01,6,1.7515368991023574,5.5725152777026326
66,3.215122076181265,2017-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-07-01,7,1.7446835045501838,5.6093704514285925
67,8.08747121003958,2017-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-08-01,8,1.1623543434326868,9.400507288376312
68,38.74169921875,2017-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-09-01,9,0.9070016507451076,35.1387851440767
69,63.798557391533485,2017-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-10-01,10,1.3044451451374333,83.22171845615776
70,66.3345572398259,2017-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-11-01,11,1.4967678322639064,99.28743144404022
71,115.21800547379712,2017-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-12-01,12,1.6946525708826246,195.2544891881386
72,150.46685829529395,2018-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-01-01,1,1.4594143508430073,219.59349232241317
73,139.36721831101636,2018-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-02-01,2,1.1729096681517877,163.46515778041194
74,183.16324874070972,2018-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-03-01,3,1.0176523505820951,186.39651062123622
75,85.56014027962317,2018-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-04-01,4,1.4159446733735415,121.14842488202542
76,39.48068200624906,2018-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-05-01,5,1.5219398888725382,60.087224785202714
77,3.0966117565448465,2018-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-06-01,6,1.7515368991023574,5.4238297537824645
78,3.2413989580594573,2018-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-07-01,7,1.7446835045501838,5.655215293792488
79,7.993118873009315,2018-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-08-01,8,1.1623543434326868,9.29083643961616
80,37.18433761596679,2018-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-09-01,9,0.9070016507451076,33.726255599545276
81,80.81314893869252,2018-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-10-01,10,1.3044451451374333,105.41631979634577
82,74.7186401807345,2018-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-11-01,11,1.4967678322639064,111.83645709302479
83,182.39275840612555,2018-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2018-12-01,12,1.6946525708826246,309.0923569433141
84,84.58326917428236,2019-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-01,1,1.4594143508430073,123.44203687416464
85,131.7526717552772,2019-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-02-01,2,1.1729096681517877,154.5339825065936
86,168.63394183378952,2019-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-03-01,3,1.0176523505820951,171.6107272950802
87,80.87306731939314,2019-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-04-01,4,1.4159446733735415,114.51178889027456
88,32.23478148533747,2019-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-05-01,5,1.5219398888725382,49.059399751625065
89,3.7968721144581927,2019-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-06-01,6,1.7515368991023574,6.650361609646314
90,3.898065181878896,2019-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-07-01,7,1.7446835045501838,6.800890022485522
91,6.466342926025391,2019-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-08-01,8,1.1623543434326868,7.516181786190842
92,59.1055387350229,2019-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-09-01,9,0.9070016507451076,53.608821200844666
93,56.69837841620811,2019-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-10-01,10,1.3044451451374333,73.9599244621877
94,62.75669029011176,2019-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-11-01,11,1.4967678322639064,93.93219528558792
95,104.00953934742851,2019-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-12-01,12,1.6946525708826246,176.26003325143722
96,74.4109671482673,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-01,1,1.4594143508430073,108.59643331628887
97,101.25160474043624,2020-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-02-01,2,1.1729096681517877,118.75898611594103
98,145.27883848777182,2020-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-03-01,3,1.0176523505820951,147.84335147691755
99,64.24119171729454,2020-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-04-01,4,1.4159446733735415,90.96197322327167
100,40.73467676456157,2020-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-05-01,5,1.5219398888725382,61.9957294283156
101,4.323033615803489,2020-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-06-01,6,1.7515368991023574,7.571952894139695
102,3.762933106949696,2020-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-07-01,7,1.7446835045501838,6.565127320420907
103,8.50608994410588,2020-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-08-01,8,1.1623543434326868,9.887090592160572
104,35.44385336454098,2020-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-09-01,9,0.9070016507451076,32.1476335104062
105,118.9801700573701,2020-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-10-01,10,1.3044451451374333,155.20310519896265
106,53.26467990875244,2020-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-11-01,11,1.4967678322639064,79.72485948325424
107,103.04900549008296,2020-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-12-01,12,1.6946525708826246,174.63226208066678
108,79.51459473830003,2021-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-01-01,1,1.4594143508430073,116.04474066254095
109,91.5957214648907,2021-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-02-01,2,1.1729096681517877,107.43350726750853
110,212.19007792839636,2021-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-03-01,3,1.0176523505820951,215.9357315740305
111,85.6856190608098,2021-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-04-01,4,1.4159446733735415,121.32609589386803
112,39.46217716657198,2021-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-05-01,5,1.5219398888725382,60.05906153156098
113,3.489097741933969,2021-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-06-01,6,1.7515368991023574,6.111283439572062
114,3.2413984445425177,2021-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-07-01,7,1.7446835045501838,5.6552143978679545
115,8.384563060907215,2021-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-08-01,8,1.1623543434326868,9.745833291630765
116,35.09177281306339,2021-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-09-01,9,0.9070016507451076,31.82829586902079
117,62.33837894292977,2021-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-10-01,10,1.3044451451374333,81.31699576784234
118,109.20451164245604,2021-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-11-01,11,1.4967678322639064,163.45380016451745
119,87.82260760894187,2021-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2021-12-01,12,1.6946525708826246,148.82880776610926
120,123.9867167656238,2022-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-01-01,1,1.4594143508430073,180.94799376165867
121,146.96378144851096,2022-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-02-01,2,1.1729096681517877,172.37524012910484
122,165.49370961922864,2022-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-03-01,3,1.0176523505820951,168.4150626005587
123,91.9002225582416,2022-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-04-01,4,1.4159446733735415,130.12563061318517
124,42.78745489854079,2022-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-05-01,5,1.5219398888725382,65.1199343534239
125,7.027298632149512,2022-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-06-01,6,1.7515368991023574,12.308572855221394
126,3.2413985912616434,2022-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-07-01,7,1.7446835045501838,5.655214653846393
127,8.087471595177282,2022-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-08-01,8,1.1623543434326868,9.400507736042794
128,59.11795742695147,2022-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-09-01,9,0.9070016507451076,53.62008497492398
129,55.44827468578632,2022-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-10-01,10,1.3044451451374333,72.32923272012081
130,47.0233511191148,2022-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-11-01,11,1.4967678322639064,70.383039320342
131,81.32715008809015,2022-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2022-12-01,12,1.6946525708826246,137.82126397933905
