fecha,Q_sim
2012-01-01,83.67240515816302
2012-02-01,92.00792536361853
2012-03-01,50.37847135279589
2012-04-01,65.73172341509466
2012-05-01,24.622072034888543
2012-06-01,15.543421470775472
2012-07-01,11.0939241324794
2012-08-01,8.129490395907547
2012-09-01,6.910767044245372
2012-10-01,6.459580773147548
2012-11-01,48.74951241564599
2012-12-01,51.546003203382845
2013-01-01,39.948026446250246
2013-02-01,79.94045964508831
2013-03-01,208.223275921432
2013-04-01,49.43404755507079
2013-05-01,28.17223217682981
2013-06-01,19.58781077165216
2013-07-01,14.096291364729115
2013-08-01,10.906410840782286
2013-09-01,8.948156438775154
2013-10-01,44.71277707972972
2013-11-01,49.20844778657813
2013-12-01,69.93935557273737
2014-01-01,49.520924776624845
2014-02-01,63.78543595142831
2014-03-01,83.8439634879485
2014-04-01,30.55651407174988
2014-05-01,25.12754523889108
2014-06-01,17.111019907596624
2014-07-01,12.889031403868408
2014-08-01,9.735757220085109
2014-09-01,10.895638088008226
2014-10-01,22.314372508554545
2014-11-01,44.65986407014048
2014-12-01,82.88168802733584
2015-01-01,127.46625240181449
2015-02-01,46.53204698611609
2015-03-01,138.3501320757211
2015-04-01,63.02135246228928
2015-05-01,90.21352836023092
2015-06-01,26.996462724839965
2015-07-01,18.9885040335824
2015-08-01,15.129994087598334
2015-09-01,13.059671083178769
2015-10-01,29.246356729390264
2015-11-01,69.99346309153513
2015-12-01,43.72873615027133
2016-01-01,51.956871634574505
2016-02-01,109.53393792147656
2016-03-01,79.42851687818052
2016-04-01,57.6794314752731
2016-05-01,24.157547513628344
2016-06-01,17.871003656611506
2016-07-01,12.801586187411225
2016-08-01,9.506010607486283
2016-09-01,8.315898077388438
2016-10-01,24.90824816072273
2016-11-01,8.738086484927646
2016-12-01,77.25616482686593
2017-01-01,118.43426059089276
2017-02-01,137.25787139248652
2017-03-01,195.53433987080936
2017-04-01,104.98567906879548
2017-05-01,86.39928052229718
2017-06-01,30.40170564595844
2017-07-01,21.430487162132724
2017-08-01,16.19092379892965
2017-09-01,23.034926794948884
2017-10-01,33.92255454613237
2017-11-01,28.1195143232644
2017-12-01,83.91954109513635
2018-01-01,106.09446507467312
2018-02-01,95.70709880162131
2018-03-01,192.40144668798425
2018-04-01,78.62143779645137
2018-05-01,45.692618846166845
2018-06-01,26.673128112732712
2018-07-01,19.371789498941688
2018-08-01,14.30418421624517
2018-09-01,12.194457186158932
2018-10-01,43.72295441112564
2018-11-01,96.10839746913156
2018-12-01,90.63895600958556
2019-01-01,131.24276983256726
2019-02-01,162.9792341446495
2019-03-01,161.84189110606354
2019-04-01,111.12565904518168
2019-05-01,39.32091465229384
2019-06-01,28.8021093041469
2019-07-01,21.222123837149866
2019-08-01,15.309775271561108
2019-09-01,18.942526517604843
2019-10-01,30.589353146591915
2019-11-01,51.019462958536685
2019-12-01,154.91217007967282
2020-01-01,76.03305947170888
2020-02-01,98.83972580002884
2020-03-01,125.88679673667234
2020-04-01,61.10584659290071
2020-05-01,75.21418263715428
2020-06-01,25.001215110261604
2020-07-01,19.10959023816889
2020-08-01,14.010810352616891
2020-09-01,18.0487464337367
2020-10-01,54.41460915990152
2020-11-01,34.09737875324194
2020-12-01,80.36600650132416
2021-01-01,61.66292427256664
2021-02-01,59.722389768725485
2021-03-01,122.69876256570734
2021-04-01,70.55817940920814
2021-05-01,37.1555112559921
2021-06-01,21.192986095546985
2021-07-01,14.954614267069998
2021-08-01,11.203148153581267
2021-09-01,9.66721357693255
2021-10-01,15.321029752120063
2021-11-01,58.52720862720845
2021-12-01,58.57596043102952
2022-01-01,87.41577044278966
2022-02-01,96.5008119731458
2022-03-01,97.83672478601788
2022-04-01,75.85238183577604
2022-05-01,39.53277940881594
2022-06-01,23.45067525141068
2022-07-01,16.493815528579955
2022-08-01,12.38114108526784
2022-09-01,20.280902462139576
2022-10-01,19.006179848938533
2022-11-01,22.35001311550588
2022-12-01,50.7152400720628
